,filmName,author,date,opinion,text
0,Чернобыль: Зона отчуждения. Финал,92085,24 октября 2019 | 22:24,0,Чего я опасался  обсуждая второй сезон ТНТшного  Чернобыля  Зона отчуждения   то авторы и воплотили в его финале  Финал представляет собой три  фильма  с абсолютно разными сюжетными ответвлениями с тремя вариантами концовки  Звучало многообещающе  но по факту зрителю впихивают три раза один и тот же фильм с некоторыми переснятыми сценами  не влияющими на общее повествование никак  Более того  концовка в сериале так же фактически одинаковая  чуть пересняли кое какие эпизоды     Но это не самое грустное  Градус сюжетного маразма в финале достиг критической точки  Герои ведут себя в точности как в первом сезоне  хотя прибыли из параллельной реальности второго сезона  где Чернобыльской аварии не было   и хотя прошло шесть лет  они вообще никак не повзрослели и ведут себя как вчерашние школьники  Особенно забавно  что с ними нянчится целый генерал ФСБ  интересно  как Костенко построил такую карьеру в госбезопасности  если авария все таки произошла и его должны были уволить из органов   а Паша продолжает строить из себя угрюмого то ли супергероя  то ли суперзлодея  которым управляет Зона  вдумайтесь в этот бред   Зона вселяетсч в человека    Антогонист здесь тоже бредовый   призрак единственного погибшего инженера на 4 энергоблоке  вот так дань памяти реально существовавшему человеку  даже если злодей вымышленное лицо  все мы знаем  что одна жертва при взрыве была   Дополнительный персонаж  чокнутый ученый  напоминающий отца Белль из диснеевской  Красавицы и чудовища   в исполнении Ильина вообще не в тему   окончательно превратил проект в детский сад      Бедный загипнотизированный Паша строит из себя жуткого суперзлодея  валит непонятных ботов охранников налево и направо  то дружит  то не дружит с главными героями  ФСБшник Костенко рассекает на черном Гелендвагене  ну а как еще без штампов   Аня убивается по исчезнувшему взлюбленному  ботаник неожиданно оказывается протеже героя Стычкина  а влюбленная парочка раздолбаев вообще никак не развивается  Попытки изображать взрослых у этих детишек смотрятся вообще смешно  играют актеры крайне неважно  Сюжет вообще поражает своей неадекватностью  хотя технически выполнен не плохо и придраться тут особо не к чему   спецэффекты и экшен здесь на достаточно не плохом уровне     Чем впечатлял первый сезон  Молодежное роуд муви  заправленное глуповатым  но актуальным юмором  мистическими ответвлениями сюжета  тягучая атмосфера покинутого города и яркие персонажи  в которых молодой зритель мог узнать самого себя  Молчу уже об отличном саундтреке  В погоне за спецэффектами  экшеном и следуя инструкции  куй железо пока горячо   создатели уже ближе к финалу второго сезона все это растеряли  и на выходе нас ждал проходной трэш в худшем значении слова  Ситуацию не спасает даже Стычкин  он хорош как всегда  но его преступно мало     4 из 10                             
1,Чернобыль: Зона отчуждения. Финал,1470866,22 октября 2019 | 20:19,0,К сожалению  данный проект  кроме сюжета  ничего общего не имеет с первыми сезонами сериала  Напрочь отсутствует приключенческая атмосфера  реки крови и горы трупов  невнятная мистика  А самое главное   зрителю почти ничего не объяснили  необходимо додумывать и строить версии самостоятельно  по каким законам существует мир и что представляют собой мистические отклонения  которые встречаются на всем протяжении повествования  Вышло очень дёшево и безвкусно  но пройдёмся по порядку     Сюжет фильма происходит через несколько лет после событий второго сезона  Большая часть экранного времени посвящена перестрелкам в Москве  в зависимости от просматриваемой части плюс минус 3 4 трупа  Абсолютно никакой разницы в том кто погибнет в Москве нет   в Чернобыль поедут одни и те же  Заявленных сюжетных ответвлений нет от слова совсем  изменения ни на что не влияют  отличаются лишь финальные сцены  причём одна из концовок абсурдна  потому что хронологическая последовательность нарушена  Смотреть все три фильма необязательно  наиболее интересный   третий  в нём хорошая дополнительная линия Учёного     Персонажи за прошедшее время серьёзно деградировали  хотя переломным моментом можно считать второй сезон  когда Паша разбил машину времени  Сразу же после этого понеслись очень странные вещи и чувствовалось  что сценарий серьёзно ослаб  В третьем сезоне сценарий просел окончательно  герои несут чепуху  а кое как вытаскивают эпизодические   Костенко  Сорокин  Учёный с женой  хорошо вошли герои Сучкова и Мулина  Из пятёрки со знаком плюс можно отметить только Аню  а вот Лёша окончательно превратился в омерзительного дурака  совсем неважно выглядит Настя  Переживать стало не за кого  должны были за Аню  но почему то нет   новых персонажей раскрыть не успевают  а старые перестали быть  родными   Особенно это проявляется после трёхкратного просмотра     Огромное количество логических ошибок вселенной не позволяют обобщить всё происходящее на протяжении трёх сезонов  Во время просмотра окончательно обрушилась вера в серьёзность происходящего   мир сериала анархичен  не подчинён каким то правилам и законам физики  Новые концепции нарастали снежным комом  а закончилось всё самым отвратительным образом      Последняя треть фильма очень сильно напичкана событиями  которые происходили в 2007 году в проекте с приставкой  Тень Чернобыля    Global Cintec     Монолит   Паша   Стрелок  в ректоре  Исполнитель желаний     Сама ЧАЭС как  объект вызывающий интерес  возникает именно в тот момент  когда сценарий и сериал в целом начинают скатываться с поставленной планки качества  Не исключено  что в какой то момент было решено пойти по проложенным рельсам и взять за основу концепцию Сталкера  поскольку распутывать клубок событий для грамотного финала оказалось непосильной задачей     В результате  хочется эту халтуру  развидеть  и остановится на концовке второго сезона  Можно было придумать массу приключений  мистических и драматических ходов  развернуть полноценный сезон по возврату в исходные миры  но на зрителя и фанатов сериала наплевали                              
2,Чернобыль: Зона отчуждения. Финал,3018671,15 октября 2019 | 23:14,0,Был с воодушевлением просмотрен 1ый сезон  2ой сезон стал менее интересным  но все же оставлял желание узнать  что будет дальше  Но финал с обещанными  тремя финалами    это полный     Первый фильм из  финала  оставил ощущение  ну ладно  да такое может быть      Второй фильм с первых минут оставлял вопрос   вот сейчас начнется какое то  другое  развитие сюжета или сейчас  или может быть сейчас  Но вторая серия оказалась  абсолютно провальной  Полное  повторение первой серии с несколькими легкими изменениями  Рождается вопрос  вам бюджета не хватило на дополнительные съёмки или новый сценарий  или надо было перед спонсорами отчитаться за 3 фильма  а идей было всего две     Третий фильм из финала был снят с дополнительными съёмками и небольшой новой сюжетной линией  Хоть вырезали какую то часть сцен из первых двух фильмов  спасибо и на этом монтажерам  но боюсь связано это было лишь с ограниченным хронометражом     Выводы можно сделать такие       смотреть стоит первый и третий фильм из финала  Зоны отчуждения   хотя можно ограничиться только третьим       все три фильма имеют одинаковую идею окончания сюжета  хотя  можно было продумать и отснять три альтернативные версии      графика подкачала  особенно неправдободобно смотрится саркофаг       гримеру очень симпатичны острые черты лица  что  на мой взгляд  не везде уместно      тот  кто оплатил эти три варианта с такими незначительными изменениями в сюжетах  либо недальновиден  либо ему привели такие аргументы  которых я не понимаю      игра актеров местами требовала доработки                                  
3,Чернобыль: Зона отчуждения. Финал,110138,12 октября 2019 | 14:33,0,Прежде всего  хочется поделиться своим мнением касательно двух сезонов сериала  Первый сезон  на мой взгляд  оказался по настоящему прорывным для российского кинематографа  как и в плане съемки  как и в плане спецэффектов  так и в плане лихо закрученного сюжета  оторваться от которого было просто невозможно  Так  все 10 серий смотрелись на одном дыхании  а после заключительной приходила мысль   Господи  как это круто   Создатели фильма  подобно великим кулинарам  попытались создать блюдо из множества компонентов   мистика  фантастика  приключения  триллер  драма  мелодрама  и  хочется сказать  этот микс удался действительно на славу  Так  каждая серия  пропитанная настоящим саспенсом  атмосферой таинственности и крутыми сюжетными поворотами сопровождался прекрасно вписывающейся в сериал музыкой  Стоит отметить и хорошую актерскую игру молодых  почти неизвестных артистов  ну  и  конечно  Евгения Стычкина  бесподобного в роли Костенко  Второй сезон  на мой взгляд  вопреки мнению многих  ничуть не уступал первому  в своей закрученности сюжета  фантазии создателей фильма даже порой и обгоняя первый  Вообще  с ходу и не поймешь  смотрим ли мы российский сериал или лихо закрученный голливудский фильм  что и говорит о качественности данной картины  Естественно  я поставил сериалу 10 из 10 и стал ожидать продолжения  в котором создатели обещали сделать три разных фильма с тремя разными финалами  Что же из этого вышло     После просмотра первой части я был нескрываемо разочарован  и на то есть целый ряд причин  Во первых  либо персонажи были плохо прописаны  либо актеры  исполняющие их роли совсем перестали играть  Если в сериале искренне хотелось за них переживать  то здесь они будто картонные  словно с безразличным лицом машут тебе и говорят   Вот как бы мы   Один из самых ярких персонажей  Костенко  вообще появился лишь в паре эпизодов и был убран так резко  будто б на оплачивание гонорара Стычкину не оказалось денег  Вместо него был введен довольно странный персонаж немного сумасшедшего ученого  которому вроде бы и надо сопереживать  но снова из за какой то фальши не хочется  Да и сам фильм потерял всю свою обаятельность  уже совершенно не вызывая никакой атмосферы таинственности  саспенса  походя на дешевую криминальную драму с примесью нелепой мистики     Тем не менее  я не спешил поливать грязью фильм  зная  что выйдет еще два  И  честное слово  выйди они пусть и с тоже слабым  но реально  как было обещано  ДРУГИМ сюжетом  фильму можно было бы простить многое   продолжения крайне редко получаются лучше первых частей  и это нормально для всего мирового кинематографа во все времена  но то  что сделали создатели  можно назвать настоящим преступлением и подлым предательством перед зрителем и всеми фанатами этой картины  Дело в том  что наивный зритель был  подло обманут в факте наличия трех РАЗНЫХ фильмов  когда на деле это один и тот же фильм с буквально парами минутами чего то другого  по сути дела никаких не меняющих ни сюжета  ни финала  Это можно было бы назвать неудачными дублями или выложить короткометражками на YouTube  но чтоб такой наглой ложью очернить просто всех  принимавших участие в производстве этой картины   это надо очень постараться  Слава богу  что сие не пустили в кинотеатрах с периодичностью по три месяца между  частями   однако и без этого создатели наварились очень неплохо  Думаю  у создателей сей картины появятся последователи  ведь в плане мошенничества это действительно гениальная схема  обходящая все законы и позволяющая найти новый путь к кошельку бедного зрителя  Стоило бы этой подлости  выходящую за грани аморальности  поставить 1 из 10  но своей единичкой не очень хочется портить общее отношение к сериалу     5 из 10                             
4,Чернобыль: Зона отчуждения. Финал,167987,07 октября 2019 | 15:31,0,Начнем с того  что первый сезон достаточно хорош  Необычный напряженный сюжет  фантастические путешествия во времени  простые ребята в качестве главных героев  все это заставляло зрителя смотреть серию за серией  не отрываясь от экрана  Во втором сезоне все получилось не так хорошо  а конец сезона превратился в какую то несуразную кашу     Что же нам показали в последнем сезоне  Авторы сериала нашли гениальную идею   показать три различных финала  Это решение давало огромное поле для творчества  можно было снять настоящий шедевр  сделать даже луче  чем в первом сезоне  Но ничего не получилось  Финал сериала похож на плохой квест  где принятые героями решения никак не влияют на сюжетную линию  Нас заставили трижды смотреть один и тот же фильм и находить в нем те мизерные минутные отличия от предыдущей части  Отличия  которые никак не влияют на сюжет  Уже во второй части мы знали все реплики героев наизусть  а в третьей от них уже трясло   И главное все происходящее в течение полутора часов на экране  никак не изменяло кульминационную сцену  Каждую минуту  нас не отпускает ощущение  что нам подсунули какую то второсортную дешевку  Ты внимательно смотришь на экран  в надежде  что сейчас все изменится  А нет  все осталось как предыдущей части  Посмотрите на поездку в Припять  все одинаковое  кадр в кадр  Конечно  чтобы сделать хорошо  нужно было снять три отдельных фильма  а не раздуть один отснятый на три части     А ведь авторы сериала могли показать зрителю три совершенно разных варианта развития сюжета  которые приводят к одному финалу или к разным финалам  Действия героев должны были полностью изменять сюжетную линию  В одной части кто то из героев мог погибнуть  или не участвовать в главных событиях  в другой части этот герой должен был стать ключевой фигурой в сюжете  Было столько возможностей  но ничего этого мы не увидели  А увидели трижды повторяющийся сюжет с редкими вкраплениями чего то нового  Печаль      4 из 10                             
5,Чернобыль: Зона отчуждения. Финал,42705,07 октября 2019 | 15:16,0,Сериал  Зона отчуждения    это один из тех редких случаев  когда не смотря на всю абсурдность происходящего ты не можешь оторваться от просмотра  потому что интересно  Сочетание фантазии авторов  духа приключения и глуповатых  но харизматичных героев в этом сериале настолько хорошее  что глаза сами закрываются на неважные съёмки  спецэффекты  монтаж и дыры в сценарии  Первые два сезона я смотрел на одном дыхании и с нетерпением ждал финал  Что же получилось  Ну  давайте разберём     Финал состоит аж из 3х фильмов и  казалось бы три фильма в сумме дадут более чем достаточно хрона для очень длинного приключения  но всё оказалось куда более тривиально  Под видом 3х фильмов нам дают один и тот же с небольшими вариациями в некоторых сценах  которые не влияют на общий сюжет  Судя по всему  в процессе съёмок авторы посмотрели последнюю серию чёрного зеркала и захотели как у них  Наверно планировалось что то типа выбора вариаций на площадке  где крутили фильм  и это бы сработало  т  к  фильм всё равно закончился бы так же  но у смотрящих было бы ощущение  что они на что то повлияли  но  видимо не получилось реализовать это на площадке  где показывают фильм на тот момент  когда я пишу это ревью     Итог  для финала  которые ещё в какой то момент планировался ещё и для кинотеатров  общее качество  конечно  низковато  Все те же претензии к съёмкам  графике  монтажу  игре актёров  сценарию   всё сделано как в русском сериале для телика  Ещё и эта халтура с 3мя на 90  одинаковыми сериями  По мне так можно посмотреть только третью серию из трёх  т  к  в ней есть кое какие нарезочки  которые  видимо  из за ограничения хрона не стали вставлять в остальные серии  а 1ю и 2ю смотреть вообще не обязательно  Фильм не разочаровал в целом  но вся эта замануха с тремя сериями заставляла ждать чего то большего     6 из 10                             
6,Чернобыль: Зона отчуждения. Финал,3228454,03 октября 2019 | 20:10,1,Итак  оставляю свежие впечатления после просмотра трех фильмов финала      Оговорюсь сразу  что ЧЗО это один из моих любимых сериалов со всем шероховатостями и недостатками  поэтому предвзятости мне будет сложно избежать  В интернетах есть такая шутка   Сериальная депрессия должна быть официальной болезнью  Чтоб после того  как сериал закончился  ты взял справку и горевал дома неделями   Это как раз мой случай      Скажу сразу  что финал не смог переплюнуть впечатления от первого сезона  но скорее всего такой сверхзадачи перед создателями и не стояло  Тем не менее  финал оставил вполне приятные впечатления  Объясню почему      Изначально  получив информацию о том  что фильм выйдет на Премьере  и посмотрев трейлер  я подумала о том  что возможно это будет интерактивный фильм  в качестве образца держала в голове эпизод  Черного зеркала  под названием  Bandersnatch    Я не претендую на экспертность в этом вопросе  но мне кажется  что  если бы создатели решились на такой способ подачи  это было бы нереально круто  Если я узнаю  что такой вариант рассматривался  но не получилось  я правда расстроюсь  Уже после просмотра всех частей стало понятно  что отснятого материала для такой фишки не хватило бы  После того  как состоялась премьера  стало понятно  что мы получим три фильма с разным сюжетом  что тоже не совсем получилось  В итоге мы имеем три фильма  которые в целом идут в одном направлении  с несколькими переменными  и они как раз вызывают интерес  однако в фильмах сохранено очень много одинаковых кадров      Сложно будет пересказать сюжет без спойлеров  но скажу  что нужно совместить все три фильма  чтобы получить полную картинку  которую хочется крутить и рассматривать как калейдоскоп  Финал вызвал немало обсуждений и споров  причем не только межличностных  но внутренних  Фильмы  закрывая некоторые вопросы  все таки оставляют много пространства для фантазии  правда  уверенности в том  что это специально так было задумано  нет   Не этим ли отличаются действительно хорошие произведения  После каждого фильма легко поймать себя на том  что титры уже закончились  а ты сидишь и обдумываешь то  что было продемонстрировано       Фильмы  конечно  не лишены недостатков  ляпов и даже небрежностей  37 декабря новый день в календаре   Бывали  правда и ситуации  когда моменты  на первый взгляд  казавшиеся ляпами  после осмысления оказывались логичными      Из плюсов могу выделить графику  по сравнению с первым сезоном точно разница колоссальная  Сохранены характеры персонажей и стиль юмора  в фильмах есть один и тот же момент с шуткой  над которой я смеялась три раза       В заключении хочу сказать  что просмотр финала в таком формате  это как минимум интересный опыт  Думаю  что через неделю я еще раз пересмотрю все три фильма и наверняка найду еще больше интересных деталей  которые упустила в первый раз                              
7,Чернобыль: Зона отчуждения. Финал,1538049,03 октября 2019 | 10:24,1,Фильм реально оказался очень долгожданным  Мало того  что между первым и вторым сезоном прошло немало времени  но и полного метра пришлось ждать целых два года  Зато создатели этого фантастического триллера сделали большой сюрприз зрителям полюбившегося сериала  Всего  как я понял  выйдет три финала  Будет показано три разных мира и соответственно три разных финала  Вчера я посмотрел уже второй вариант  которым я также остался очень даже довольным  как и первым  хоть существенно ничего не поменялось в структуре финала  Фильм показался мне вполне законченным  где всё очень удачно и удобно вывернули и финалом я остался доволен     Смотреть было интересно  очень хотелось узнать чем всё закончится  Можно сказать  что я удовлетворён просмотром  Я с замиранием сердца смотрел сие продолжение  отбросив все дела и посвятив себя на 100 с небольшим минут в этот фильм  События как и раньше очень увлекательные и захватывающие  Интрига  которая не гасла буквально в первой серии первого сезона  росла по ходу фильма  просто вырываясь под конец фильма  Честно  хотелось другого конца  но внутренне понимаю  что так и должно быть  По большому счёту  финалом получилось перекрыть неприятные впечатления  которые остались после второго сезона  Интересные и неожиданные повороты  атмосфера  декорации  Всё на хорошем уровне  Если вы смотрели предыдущие сезоны  то финал стоит обязательно посмотреть     Сюжет данного фильма всё также крутится вокруг темы Чернобыля  но той изюминки  которая была в первом сезоне  конечно же  очень не хватает  Но с другой стороны  конкретно про трагедию полно других фильмов и сериалов  взять хотя бы нашумевший сериал Чернобыль этого года выхода  Здесь же чистый экшн и разлекаловка  Научную фантастику смешали с триллером и получился весьма неплохой продукт  Вероятнее всего на любителя  коим являюсь я  Хотя порой мне казалось  что научная фантастика стала явно отдавать фэнтези     По началу мне было кое чего непонятно  хотелось вспомнить  чем же закончился второй сезон  но потом как то всё само по себе встало на свои места и желание пересмотреть прошлые сезоны не возникло  Хорошего понемножку  Тем более данный фильм отвечает на все вопросы  которые могли возникнуть после второго сезона  Радует  что не стали всё это растягивать ещё на один сезон  а уместились почти в двухчасовое кино  которое меня полностью поглотило и совершенно мне не наскучило  Теперь осталось дождаться третьей истории  которую явно посмотрю на перемотке  делая акценты на важные моменты  узнаваемые теперь по двум версиям финала  Надеюсь  что то соригинальничают авторы  а то вторая версия отличалась на мелкие детали лишь  И все же после окончания просмотра я понял  что рано или поздно я пересмотрю оба сезона и финал целиком  друг за другом  вновь насладившись всеми этими приключениями  перемещениями во времени и просто окунусь вновь в эту вселенную Чернобыля  которая оказалась очень и очень заковыристой  В России подобного кино больше нет и  скорее всего  ничего подобного не придумают ещё много лет      Большой плюс в этом продолжении   оно оказалось для меня полной неожиданностью  Вспоминая сколько я ждал второй сезон  то так быстро не ожидал увидеть третью часть истории  Но оно и к лучшему   я с большим удовольствием посмотрел за похождениями любимых героев  с грустью понимая  что на этом всё  Не будет больше приключений в Припяти  никаких переживаний за ребят и самое главное не будет той атмосферы  за которую я полюбил данный фильм  Все эти фантомы и прочие ужасы  которые сполна насыщали фильм  стали чуть ли не родными и очень хотелось чтобы это не кончалось как можно дольше  Но всему есть предел  как известно  есть конец и у     Итог   хочется посоветовать всем ценителям этого проекта отбросить все дела в сторону и насладиться финалом всей истории  да ещё и в трёх разных фильмах  И с первых кадров отнеситесь к фильму с пониманием  подождите  если что то будет раздражать  потом должно всё пойти как по маслу  ну  по крайней мере выверту финала наверняка порадуетесь     9 из 10                             
8,Чернобыль: Зона отчуждения. Финал,3448707,24 сентября 2019 | 10:37,0,Посмотрев вчера этот фильм  я долго думала  что мне в нем так не понравилось  И сегодня поняла  Это не фильм  это комикс      И если у марвел герои комиксов на экране оживают  то здесь герои сериала  1 сезон которого мне в принципе зашел  да и второй на разок  но глянуть можно   уже не живые люди  а картинки с надписями      Да  спецэффекты смотрибельные  да  видно  что актеры изо всех сил старались что то из этого выжать  но сценарий настолько плох  что у них ничего не получилось  Весь фильм   статичные картинки  да  красивые  но картинки и сверху такие метры скучного текста мелким шрифтом  Если уж взялись снимать фантастический боевик  а потуги явно на него   то текста надо уже давать как то не так много  а то на скучнейших диалогах начинаешь откровенно подвисать  Да  они все объясняют  Но лучше бы уж оставили завесу какой то тайны  мол совершенно секретно и все такое  Тайны  Если уж это триллер  нагнетайте обстановку  А то кровь видите ли у него не такая    Сразу становится скучно  Да  кровь  конечно же    частицы какие то    и ученый не от мира сего с допотопной махиной в комплекте  которую вместо мужиков почему то таскают хрупкие барышни  Прям весь Чернобыль разгадали и в коробку запихнули  Зачем говорить  если можно показать       Паша отдельная песня  Красив  конечно  монстра играет хорошо  прям глаз не оторвать  а вот самого себя    какое то дрожащее печальное недоразумение у него получилось  но это сразу ясно не его вина  а режиссера  который повелел ему на контрасте быть этим вот        Костенко здесь это плюшевый мишка  Раньше он был суровее  страшнее и загадочнее  А теперь       Аня    кто ж тебя так переучил то играть а  Была обычная живая девушка  стала трагическая героиня с горестным взглядом и неестественными движениями     Главный злодей в белом халате  Вот видно  что старались  задумка интересная  исполнение кривое  Слишком живая мимика у этого создания  Если у него такая сила  как и у Паши  почему того она меняет кардинально  придавая ему какой то отрешенности  а это нечто   истеричный злодей из комикса  которого не получается бояться  даже когда он швыряется тяжелыми предметами  Нелогично     Единственный более менее живой человек получился Леша  Его остроты  непринужденные и естественные  немного разбавили общую неживую обстановку картонного триллера     Вообще весь фильм производит впечатление постановки деревенского театра  где для актеров главное   вовремя вспомнить и правильно сказать текст  На некоторых моментах  когда кажется   ну вот сейчас будет    бац   и не бывает  Оператору огромный жирный минус за неумение акцентировать внимание на нужных деталях  чтобы потом не пришлось объяснять для зрителя   а вы видели  что у него глаза закрыты    Нет  я не видела  вот внимания не обратила  Где это показали крупным планом  если это важно  Диалоги вообще выглядят на экране откровенно скучно  никакой динамики  Такое ощущение  что их оператор отдельно снимал сначала динамичные сцены  которые хороши  а потом ему становилось скучно и уже все остальное он снимал  для галочки   ну мол это не интересно зачем стараться     Куда при этом режиссер смотрел  не знаю  но в хорошем фильме даже над диалогами надо работать  А не тянуть их связками от экшена до экшена      Музыка вообще жесть  Нагнетает где не надо  где даже намек на напряжение отсутствует  а в нужных сценах ее вообще нет  И подбор ужасающий  Вырвиухо     В общем  фильм мне не понравился  И концовка какая то приторная до слащавости  Куда естественнее смотрелся бы просто разговор  и они пошли по улице  непринужденно общаясь  и камера уезжает наверх  окидывая всю картину    Ну в общем как это обычно бывает  когда молодые люди первый раз встречаются и нравятся друг другу       Можете посмотреть  если хотите лишний раз убедиться  как из неплохих в общем то ингредиентов может сделать черт те что соус из халтурщика режиссера  пьяного сценариста и скучающего оператора на пару с надерганными как попало треками из инета                              
